PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
135,0,2,0,25.0,0,0,13.0,missing,S
136,0,2,0,23.0,0,0,15.0458,missing,C
137,1,1,1,19.0,0,2,26.2833,D47,S
138,0,1,0,37.0,1,0,53.1,C123,S
139,0,3,0,16.0,0,0,9.2167,missing,S
140,0,1,0,24.0,0,0,79.2,B86,C
141,0,3,1,29.7,0,2,15.2458,missing,C
142,1,3,1,22.0,0,0,7.75,missing,S
143,1,3,1,24.0,1,0,15.85,missing,S
144,0,3,0,19.0,0,0,6.75,missing,Q
145,0,2,0,18.0,0,0,11.5,missing,S
146,0,2,0,19.0,1,1,36.75,missing,S
147,1,3,0,27.0,0,0,7.7958,missing,S
148,0,3,1,9.0,2,2,34.375,missing,S
149,0,2,0,36.5,0,2,26.0,F2,S
150,0,2,0,42.0,0,0,13.0,missing,S
151,0,2,0,51.0,0,0,12.525,missing,S
152,1,1,1,22.0,1,0,66.6,C2,S
153,0,3,0,55.5,0,0,8.05,missing,S
154,0,3,0,40.5,0,2,14.5,missing,S
155,0,3,0,29.7,0,0,7.3125,missing,S
156,0,1,0,51.0,0,1,61.3792,missing,C
157,1,3,1,16.0,0,0,7.7333,missing,Q
158,0,3,0,30.0,0,0,8.05,missing,S
159,0,3,0,29.7,0,0,8.6625,missing,S
160,0,3,0,29.7,8,2,69.55,missing,S
161,0,3,0,44.0,0,1,16.1,missing,S
162,1,2,1,40.0,0,0,15.75,missing,S
163,0,3,0,26.0,0,0,7.775,missing,S
164,0,3,0,17.0,0,0,8.6625,missing,S
165,0,3,0,1.0,4,1,39.6875,missing,S
166,1,3,0,9.0,0,2,20.525,missing,S
167,1,1,1,29.7,0,1,55.0,E33,S
168,0,3,1,45.0,1,4,27.9,missing,S
169,0,1,0,29.7,0,0,25.925,missing,S
170,0,3,0,28.0,0,0,56.4958,missing,S
171,0,1,0,61.0,0,0,33.5,B19,S
172,0,3,0,4.0,4,1,29.125,missing,Q
173,1,3,1,1.0,1,1,11.1333,missing,S
174,0,3,0,21.0,0,0,7.925,missing,S
175,0,1,0,56.0,0,0,30.6958,A7,C
176,0,3,0,18.0,1,1,7.8542,missing,S
177,0,3,0,29.7,3,1,25.4667,missing,S
178,0,1,1,50.0,0,0,28.7125,C49,C
179,0,2,0,30.0,0,0,13.0,missing,S
180,0,3,0,36.0,0,0,0.0,missing,S
181,0,3,1,29.7,8,2,69.55,missing,S
182,0,2,0,29.7,0,0,15.05,missing,C
183,0,3,0,9.0,4,2,31.3875,missing,S
184,1,2,0,1.0,2,1,39.0,F4,S
185,1,3,1,4.0,0,2,22.025,missing,S
186,0,1,0,29.7,0,0,50.0,A32,S
187,1,3,1,29.7,1,0,15.5,missing,Q
188,1,1,0,45.0,0,0,26.55,missing,S
189,0,3,0,40.0,1,1,15.5,missing,Q
190,0,3,0,36.0,0,0,7.8958,missing,S
191,1,2,1,32.0,0,0,13.0,missing,S
192,0,2,0,19.0,0,0,13.0,missing,S
193,1,3,1,19.0,1,0,7.8542,missing,S
194,1,2,0,3.0,1,1,26.0,F2,S
195,1,1,1,44.0,0,0,27.7208,B4,C
196,1,1,1,58.0,0,0,146.5208,B80,C
197,0,3,0,29.7,0,0,7.75,missing,Q
198,0,3,0,42.0,0,1,8.4042,missing,S
199,1,3,1,29.7,0,0,7.75,missing,Q
200,0,2,1,24.0,0,0,13.0,missing,S
201,0,3,0,28.0,0,0,9.5,missing,S
202,0,3,0,29.7,8,2,69.55,missing,S
203,0,3,0,34.0,0,0,6.4958,missing,S
204,0,3,0,45.5,0,0,7.225,missing,C
205,1,3,0,18.0,0,0,8.05,missing,S
206,0,3,1,2.0,0,1,10.4625,G6,S
207,0,3,0,32.0,1,0,15.85,missing,S
208,1,3,0,26.0,0,0,18.7875,missing,C
209,1,3,1,16.0,0,0,7.75,missing,Q
210,1,1,0,40.0,0,0,31.0,A31,C
211,0,3,0,24.0,0,0,7.05,missing,S
212,1,2,1,35.0,0,0,21.0,missing,S
213,0,3,0,22.0,0,0,7.25,missing,S
214,0,2,0,30.0,0,0,13.0,missing,S
215,0,3,0,29.7,1,0,7.75,missing,Q
216,1,1,1,31.0,1,0,113.275,D36,C
217,1,3,1,27.0,0,0,7.925,missing,S
218,0,2,0,42.0,1,0,27.0,missing,S
219,1,1,1,32.0,0,0,76.2917,D15,C
220,0,2,0,30.0,0,0,10.5,missing,S
221,1,3,0,16.0,0,0,8.05,missing,S
222,0,2,0,27.0,0,0,13.0,missing,S
223,0,3,0,51.0,0,0,8.05,missing,S
224,0,3,0,29.7,0,0,7.8958,missing,S
225,1,1,0,38.0,1,0,90.0,C93,S
226,0,3,0,22.0,0,0,9.35,missing,S
227,1,2,0,19.0,0,0,10.5,missing,S
228,0,3,0,20.5,0,0,7.25,missing,S
229,0,2,0,18.0,0,0,13.0,missing,S
230,0,3,1,29.7,3,1,25.4667,missing,S
231,1,1,1,35.0,1,0,83.475,C83,S
232,0,3,0,29.0,0,0,7.775,missing,S
233,0,2,0,59.0,0,0,13.5,missing,S
234,1,3,1,5.0,4,2,31.3875,missing,S
235,0,2,0,24.0,0,0,10.5,missing,S
236,0,3,1,29.7,0,0,7.55,missing,S
237,0,2,0,44.0,1,0,26.0,missing,S
238,1,2,1,8.0,0,2,26.25,missing,S
239,0,2,0,19.0,0,0,10.5,missing,S
240,0,2,0,33.0,0,0,12.275,missing,S
241,0,3,1,29.7,1,0,14.4542,missing,C
242,1,3,1,29.7,1,0,15.5,missing,Q
243,0,2,0,29.0,0,0,10.5,missing,S
244,0,3,0,22.0,0,0,7.125,missing,S
245,0,3,0,30.0,0,0,7.225,missing,C
246,0,1,0,44.0,2,0,90.0,C78,Q
247,0,3,1,25.0,0,0,7.775,missing,S
248,1,2,1,24.0,0,2,14.5,missing,S
249,1,1,0,37.0,1,1,52.5542,D35,S
250,0,2,0,54.0,1,0,26.0,missing,S
251,0,3,0,29.7,0,0,7.25,missing,S
252,0,3,1,29.0,1,1,10.4625,G6,S
253,0,1,0,62.0,0,0,26.55,C87,S
254,0,3,0,30.0,1,0,16.1,missing,S
255,0,3,1,41.0,0,2,20.2125,missing,S
256,1,3,1,29.0,0,2,15.2458,missing,C
257,1,1,1,29.7,0,0,79.2,missing,C
258,1,1,1,30.0,0,0,86.5,B77,S
259,1,1,1,35.0,0,0,512.3292,missing,C
260,1,2,1,50.0,0,1,26.0,missing,S
261,0,3,0,29.7,0,0,7.75,missing,Q
262,1,3,0,3.0,4,2,31.3875,missing,S
263,0,1,0,52.0,1,1,79.65,E67,S
264,0,1,0,40.0,0,0,0.0,B94,S
265,0,3,1,29.7,0,0,7.75,missing,Q
266,0,2,0,36.0,0,0,10.5,missing,S
267,0,3,0,16.0,4,1,39.6875,missing,S
268,1,3,0,25.0,1,0,7.775,missing,S
269,1,1,1,58.0,0,1,153.4625,C125,S
270,1,1,1,35.0,0,0,135.6333,C99,S
271,0,1,0,29.7,0,0,31.0,missing,S
272,1,3,0,25.0,0,0,0.0,missing,S
273,1,2,1,41.0,0,1,19.5,missing,S
274,0,1,0,37.0,0,1,29.7,C118,C
275,1,3,1,29.7,0,0,7.75,missing,Q
276,1,1,1,63.0,1,0,77.9583,D7,S
277,0,3,1,45.0,0,0,7.75,missing,S
278,0,2,0,29.7,0,0,0.0,missing,S
279,0,3,0,7.0,4,1,29.125,missing,Q
280,1,3,1,35.0,1,1,20.25,missing,S
281,0,3,0,65.0,0,0,7.75,missing,Q
282,0,3,0,28.0,0,0,7.8542,missing,S
283,0,3,0,16.0,0,0,9.5,missing,S
284,1,3,0,19.0,0,0,8.05,missing,S
285,0,1,0,29.7,0,0,26.0,A19,S
286,0,3,0,33.0,0,0,8.6625,missing,C
287,1,3,0,30.0,0,0,9.5,missing,S
288,0,3,0,22.0,0,0,7.8958,missing,S
289,1,2,0,42.0,0,0,13.0,missing,S
290,1,3,1,22.0,0,0,7.75,missing,Q
291,1,1,1,26.0,0,0,78.85,missing,S
292,1,1,1,19.0,1,0,91.0792,B49,C
293,0,2,0,36.0,0,0,12.875,D,C
294,0,3,1,24.0,0,0,8.85,missing,S
295,0,3,0,24.0,0,0,7.8958,missing,S
296,0,1,0,29.7,0,0,27.7208,missing,C
297,0,3,0,23.5,0,0,7.2292,missing,C
298,0,1,1,2.0,1,2,151.55,C22 C26,S
299,1,1,0,29.7,0,0,30.5,C106,S
300,1,1,1,50.0,0,1,247.5208,B58 B60,C
301,1,3,1,29.7,0,0,7.75,missing,Q
302,1,3,0,29.7,2,0,23.25,missing,Q
303,0,3,0,19.0,0,0,0.0,missing,S
304,1,2,1,29.7,0,0,12.35,E101,Q
305,0,3,0,29.7,0,0,8.05,missing,S
306,1,1,0,0.92,1,2,151.55,C22 C26,S
307,1,1,1,29.7,0,0,110.8833,missing,C
308,1,1,1,17.0,1,0,108.9,C65,C
309,0,2,0,30.0,1,0,24.0,missing,C
310,1,1,1,30.0,0,0,56.9292,E36,C
311,1,1,1,24.0,0,0,83.1583,C54,C
312,1,1,1,18.0,2,2,262.375,B57 B59 B63 B66,C
313,0,2,1,26.0,1,1,26.0,missing,S
314,0,3,0,28.0,0,0,7.8958,missing,S
315,0,2,0,43.0,1,1,26.25,missing,S
316,1,3,1,26.0,0,0,7.8542,missing,S
317,1,2,1,24.0,1,0,26.0,missing,S
318,0,2,0,54.0,0,0,14.0,missing,S
319,1,1,1,31.0,0,2,164.8667,C7,S
320,1,1,1,40.0,1,1,134.5,E34,C
321,0,3,0,22.0,0,0,7.25,missing,S
322,0,3,0,27.0,0,0,7.8958,missing,S
323,1,2,1,30.0,0,0,12.35,missing,Q
324,1,2,1,22.0,1,1,29.0,missing,S
325,0,3,0,29.7,8,2,69.55,missing,S
326,1,1,1,36.0,0,0,135.6333,C32,C
327,0,3,0,61.0,0,0,6.2375,missing,S
328,1,2,1,36.0,0,0,13.0,D,S
329,1,3,1,31.0,1,1,20.525,missing,S
330,1,1,1,16.0,0,1,57.9792,B18,C
331,1,3,1,29.7,2,0,23.25,missing,Q
332,0,1,0,45.5,0,0,28.5,C124,S
333,0,1,0,38.0,0,1,153.4625,C91,S
334,0,3,0,16.0,2,0,18.0,missing,S
335,1,1,1,29.7,1,0,133.65,missing,S
336,0,3,0,29.7,0,0,7.8958,missing,S
337,0,1,0,29.0,1,0,66.6,C2,S
338,1,1,1,41.0,0,0,134.5,E40,C
339,1,3,0,45.0,0,0,8.05,missing,S
340,0,1,0,45.0,0,0,35.5,T,S
341,1,2,0,2.0,1,1,26.0,F2,S
342,1,1,1,24.0,3,2,263.0,C23 C25 C27,S
343,0,2,0,28.0,0,0,13.0,missing,S
344,0,2,0,25.0,0,0,13.0,missing,S
345,0,2,0,36.0,0,0,13.0,missing,S
346,1,2,1,24.0,0,0,13.0,F33,S
347,1,2,1,40.0,0,0,13.0,missing,S
348,1,3,1,29.7,1,0,16.1,missing,S
349,1,3,0,3.0,1,1,15.9,missing,S
350,0,3,0,42.0,0,0,8.6625,missing,S
351,0,3,0,23.0,0,0,9.225,missing,S
352,0,1,0,29.7,0,0,35.0,C128,S
353,0,3,0,15.0,1,1,7.2292,missing,C
354,0,3,0,25.0,1,0,17.8,missing,S
355,0,3,0,29.7,0,0,7.225,missing,C
356,0,3,0,28.0,0,0,9.5,missing,S
357,1,1,1,22.0,0,1,55.0,E33,S
358,0,2,1,38.0,0,0,13.0,missing,S
359,1,3,1,29.7,0,0,7.8792,missing,Q
360,1,3,1,29.7,0,0,7.8792,missing,Q
361,0,3,0,40.0,1,4,27.9,missing,S
362,0,2,0,29.0,1,0,27.7208,missing,C
363,0,3,1,45.0,0,1,14.4542,missing,C
364,0,3,0,35.0,0,0,7.05,missing,S
365,0,3,0,29.7,1,0,15.5,missing,Q
366,0,3,0,30.0,0,0,7.25,missing,S
367,1,1,1,60.0,1,0,75.25,D37,C
368,1,3,1,29.7,0,0,7.2292,missing,C
369,1,3,1,29.7,0,0,7.75,missing,Q
370,1,1,1,24.0,0,0,69.3,B35,C
371,1,1,0,25.0,1,0,55.4417,E50,C
372,0,3,0,18.0,1,0,6.4958,missing,S
373,0,3,0,19.0,0,0,8.05,missing,S
374,0,1,0,22.0,0,0,135.6333,missing,C
375,0,3,1,3.0,3,1,21.075,missing,S
376,1,1,1,29.7,1,0,82.1708,missing,C
377,1,3,1,22.0,0,0,7.25,missing,S
378,0,1,0,27.0,0,2,211.5,C82,C
379,0,3,0,20.0,0,0,4.0125,missing,C
380,0,3,0,19.0,0,0,7.775,missing,S
381,1,1,1,42.0,0,0,227.525,missing,C
382,1,3,1,1.0,0,2,15.7417,missing,C
383,0,3,0,32.0,0,0,7.925,missing,S
384,1,1,1,35.0,1,0,52.0,missing,S
385,0,3,0,29.7,0,0,7.8958,missing,S
386,0,2,0,18.0,0,0,73.5,missing,S
387,0,3,0,1.0,5,2,46.9,missing,S
388,1,2,1,36.0,0,0,13.0,missing,S
389,0,3,0,29.7,0,0,7.7292,missing,Q
390,1,2,1,17.0,0,0,12.0,missing,C
391,1,1,0,36.0,1,2,120.0,B96 B98,S
392,1,3,0,21.0,0,0,7.7958,missing,S
393,0,3,0,28.0,2,0,7.925,missing,S
394,1,1,1,23.0,1,0,113.275,D36,C
395,1,3,1,24.0,0,2,16.7,G6,S
396,0,3,0,22.0,0,0,7.7958,missing,S
397,0,3,1,31.0,0,0,7.8542,missing,S
398,0,2,0,46.0,0,0,26.0,missing,S
399,0,2,0,23.0,0,0,10.5,missing,S
400,1,2,1,28.0,0,0,12.65,missing,S
401,1,3,0,39.0,0,0,7.925,missing,S
402,0,3,0,26.0,0,0,8.05,missing,S
403,0,3,1,21.0,1,0,9.825,missing,S
404,0,3,0,28.0,1,0,15.85,missing,S
405,0,3,1,20.0,0,0,8.6625,missing,S
406,0,2,0,34.0,1,0,21.0,missing,S
407,0,3,0,51.0,0,0,7.75,missing,S
408,1,2,0,3.0,1,1,18.75,missing,S
409,0,3,0,21.0,0,0,7.775,missing,S
410,0,3,1,29.7,3,1,25.4667,missing,S
411,0,3,0,29.7,0,0,7.8958,missing,S
412,0,3,0,29.7,0,0,6.8583,missing,Q
413,1,1,1,33.0,1,0,90.0,C78,Q
414,0,2,0,29.7,0,0,0.0,missing,S
415,1,3,0,44.0,0,0,7.925,missing,S
416,0,3,1,29.7,0,0,8.05,missing,S
417,1,2,1,34.0,1,1,32.5,missing,S
418,1,2,1,18.0,0,2,13.0,missing,S
419,0,2,0,30.0,0,0,13.0,missing,S
420,0,3,1,10.0,0,2,24.15,missing,S
421,0,3,0,29.7,0,0,7.8958,missing,C
422,0,3,0,21.0,0,0,7.7333,missing,Q
423,0,3,0,29.0,0,0,7.875,missing,S
424,0,3,1,28.0,1,1,14.4,missing,S
425,0,3,0,18.0,1,1,20.2125,missing,S
426,0,3,0,29.7,0,0,7.25,missing,S
427,1,2,1,28.0,1,0,26.0,missing,S
428,1,2,1,19.0,0,0,26.0,missing,S
429,0,3,0,29.7,0,0,7.75,missing,Q
430,1,3,0,32.0,0,0,8.05,E10,S
431,1,1,0,28.0,0,0,26.55,C52,S
432,1,3,1,29.7,1,0,16.1,missing,S
433,1,2,1,42.0,1,0,26.0,missing,S
434,0,3,0,17.0,0,0,7.125,missing,S
435,0,1,0,50.0,1,0,55.9,E44,S
436,1,1,1,14.0,1,2,120.0,B96 B98,S
437,0,3,1,21.0,2,2,34.375,missing,S
438,1,2,1,24.0,2,3,18.75,missing,S
439,0,1,0,64.0,1,4,263.0,C23 C25 C27,S
440,0,2,0,31.0,0,0,10.5,missing,S
441,1,2,1,45.0,1,1,26.25,missing,S
442,0,3,0,20.0,0,0,9.5,missing,S
443,0,3,0,25.0,1,0,7.775,missing,S
444,1,2,1,28.0,0,0,13.0,missing,S
445,1,3,0,29.7,0,0,8.1125,missing,S
446,1,1,0,4.0,0,2,81.8583,A34,S
447,1,2,1,13.0,0,1,19.5,missing,S
448,1,1,0,34.0,0,0,26.55,missing,S
449,1,3,1,5.0,2,1,19.2583,missing,C
450,1,1,0,52.0,0,0,30.5,C104,S
451,0,2,0,36.0,1,2,27.75,missing,S
452,0,3,0,29.7,1,0,19.9667,missing,S
453,0,1,0,30.0,0,0,27.75,C111,C
454,1,1,0,49.0,1,0,89.1042,C92,C
455,0,3,0,29.7,0,0,8.05,missing,S
456,1,3,0,29.0,0,0,7.8958,missing,C
457,0,1,0,65.0,0,0,26.55,E38,S
458,1,1,1,29.7,1,0,51.8625,D21,S
459,1,2,1,50.0,0,0,10.5,missing,S
460,0,3,0,29.7,0,0,7.75,missing,Q
461,1,1,0,48.0,0,0,26.55,E12,S
462,0,3,0,34.0,0,0,8.05,missing,S
463,0,1,0,47.0,0,0,38.5,E63,S
464,0,2,0,48.0,0,0,13.0,missing,S
465,0,3,0,29.7,0,0,8.05,missing,S
466,0,3,0,38.0,0,0,7.05,missing,S
467,0,2,0,29.7,0,0,0.0,missing,S
468,0,1,0,56.0,0,0,26.55,missing,S
469,0,3,0,29.7,0,0,7.725,missing,Q
470,1,3,1,0.75,2,1,19.2583,missing,C
471,0,3,0,29.7,0,0,7.25,missing,S
472,0,3,0,38.0,0,0,8.6625,missing,S
473,1,2,1,33.0,1,2,27.75,missing,S
474,1,2,1,23.0,0,0,13.7917,D,C
475,0,3,1,22.0,0,0,9.8375,missing,S
476,0,1,0,29.7,0,0,52.0,A14,S
477,0,2,0,34.0,1,0,21.0,missing,S
478,0,3,0,29.0,1,0,7.0458,missing,S
479,0,3,0,22.0,0,0,7.5208,missing,S
480,1,3,1,2.0,0,1,12.2875,missing,S
481,0,3,0,9.0,5,2,46.9,missing,S
482,0,2,0,29.7,0,0,0.0,missing,S
483,0,3,0,50.0,0,0,8.05,missing,S
484,1,3,1,63.0,0,0,9.5875,missing,S
485,1,1,0,25.0,1,0,91.0792,B49,C
486,0,3,1,29.7,3,1,25.4667,missing,S
487,1,1,1,35.0,1,0,90.0,C93,S
488,0,1,0,58.0,0,0,29.7,B37,C
489,0,3,0,30.0,0,0,8.05,missing,S
490,1,3,0,9.0,1,1,15.9,missing,S
491,0,3,0,29.7,1,0,19.9667,missing,S
492,0,3,0,21.0,0,0,7.25,missing,S
493,0,1,0,55.0,0,0,30.5,C30,S
494,0,1,0,71.0,0,0,49.5042,missing,C
495,0,3,0,21.0,0,0,8.05,missing,S
496,0,3,0,29.7,0,0,14.4583,missing,C
497,1,1,1,54.0,1,0,78.2667,D20,C
498,0,3,0,29.7,0,0,15.1,missing,S
499,0,1,1,25.0,1,2,151.55,C22 C26,S
500,0,3,0,24.0,0,0,7.7958,missing,S
501,0,3,0,17.0,0,0,8.6625,missing,S
502,0,3,1,21.0,0,0,7.75,missing,Q
503,0,3,1,29.7,0,0,7.6292,missing,Q
504,0,3,1,37.0,0,0,9.5875,missing,S
505,1,1,1,16.0,0,0,86.5,B79,S
506,0,1,0,18.0,1,0,108.9,C65,C
507,1,2,1,33.0,0,2,26.0,missing,S
508,1,1,0,29.7,0,0,26.55,missing,S
509,0,3,0,28.0,0,0,22.525,missing,S
510,1,3,0,26.0,0,0,56.4958,missing,S
511,1,3,0,29.0,0,0,7.75,missing,Q
512,0,3,0,29.7,0,0,8.05,missing,S
513,1,1,0,36.0,0,0,26.2875,E25,S
514,1,1,1,54.0,1,0,59.4,missing,C
515,0,3,0,24.0,0,0,7.4958,missing,S
516,0,1,0,47.0,0,0,34.0208,D46,S
517,1,2,1,34.0,0,0,10.5,F33,S
518,0,3,0,29.7,0,0,24.15,missing,Q
519,1,2,1,36.0,1,0,26.0,missing,S
520,0,3,0,32.0,0,0,7.8958,missing,S
521,1,1,1,30.0,0,0,93.5,B73,S
522,0,3,0,22.0,0,0,7.8958,missing,S
523,0,3,0,29.7,0,0,7.225,missing,C
524,1,1,1,44.0,0,1,57.9792,B18,C
525,0,3,0,29.7,0,0,7.2292,missing,C
526,0,3,0,40.5,0,0,7.75,missing,Q
527,1,2,1,50.0,0,0,10.5,missing,S
528,0,1,0,29.7,0,0,221.7792,C95,S
529,0,3,0,39.0,0,0,7.925,missing,S
530,0,2,0,23.0,2,1,11.5,missing,S
531,1,2,1,2.0,1,1,26.0,missing,S
532,0,3,0,29.7,0,0,7.2292,missing,C
533,0,3,0,17.0,1,1,7.2292,missing,C
534,1,3,1,29.7,0,2,22.3583,missing,C
535,0,3,1,30.0,0,0,8.6625,missing,S
536,1,2,1,7.0,0,2,26.25,missing,S
537,0,1,0,45.0,0,0,26.55,B38,S
538,1,1,1,30.0,0,0,106.425,missing,C
539,0,3,0,29.7,0,0,14.5,missing,S
540,1,1,1,22.0,0,2,49.5,B39,C
541,1,1,1,36.0,0,2,71.0,B22,S
542,0,3,1,9.0,4,2,31.275,missing,S
543,0,3,1,11.0,4,2,31.275,missing,S
544,1,2,0,32.0,1,0,26.0,missing,S
545,0,1,0,50.0,1,0,106.425,C86,C
